Sentiment,Tweet
negative,@united just changed again.  This is crazy! #YourAgentsHaveNoClue http://t.co/A37N3oHOKL
neutral,@AmericanAir and is there a delay on our connection to pns?
negative,@united your customer service is crap.
negative,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
neutral,Thx! Stand by! @united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH
neutral,@united Yes. Luckily I was there.
neutral,@JetBlue flight 1183 to Orlando.
negative,@united you Cancelled Flightled my flight without notification?
negative,@AmericanAir I have a Cancelled Flighted flight tomorrow morning and the 800 number did nothing! Please! I just want to go home!
neutral,@JetBlue do you have direct flights to and from Bos to St Lucia or Antigua?
negative,@JetBlue that's where we all get on the same page. Cancelled Flighted it 45 mins ago. @delta @SouthwestAir help flights from @tfgreenairport to MCO?
negative,@AmericanAir Still on hold. Way to suck.
negative,@USAirways with such disrespect I cannot even begin to explain. He has an issue with women and he literally yelled at me and pulled me off
positive,"@united thanks, keep up the good work"
negative,@USAirways more like USDELAY-ways. Another long 'paperwork' reLate Flightd delay - Friday in Charlotte. Today in Philly. #letsgoalready
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
negative,@united the costumer services here at Denver Intl Airport is ridiculous bad!
negative,@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on
neutral,@USAirways I am good. I just did not understand the terminology.  but the merger brings new verbiage
neutral,@united Is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations?
negative,@USAirways customer service fail... Todays experience will ensure I do my best NEVER to utilize you again...
negative,"@SouthwestAir Flight was Cancelled Flighted, I've been on hold for 50 minutes with no human interaction. I wanna get away."
negative,@USAirways I just got hanged up on trying to get to an agent. Can you help?
neutral,@SouthwestAir can take u to Midway-Chicago March 8th-April 6th. Can't make it then? @AmericanAir can get u to @fly2ohare year round. #FlyPBI
negative,@JetBlue  I did.  They have no idea where it is.
negative,@JetBlue Thank you for the reply. Would've appreciated communication before checking in about the delay. JetBlue used to be my go-to
negative,"@JetBlue appreciate the response but already spoke to a MCO and their response was ""There is nothing we can do"" idk if that's what you mean"
positive,@USAirways you can thank supervisor Jeanine and her coworkers for the excellent customer service they provided
negative,@united UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...
positive,@AmericanAir thanks keep me updated just hope I make either of my connections to Killeen Tx
negative,@JetBlue customer service says since my wife setup a family account that she now can't join mine for a year???  Help me fix please.
neutral,"@JetBlue I would fly to Washington  DC to see the actual Constitution  and the Declaration of Independence, in honor of a US Navy friend."
negative,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless
negative,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund
negative,@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?
negative,@AmericanAir our flight AA 1338 is delayed out of Providenciales and will be missing our connection AA 1651 in Miami to SEA. Who do we call?
negative,@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min.  we have schedules too
negative,@SouthwestAir How to I rebook on-line when it keeps telling me that it's a reserv number for a past date (this morning)? Holding for 2hrs.
negative,"@United ""delayed due to customer service"" Huh? http://t.co/XlTV5z6sT1"
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ
negative,@JetBlue why do this to me sending N598JB to UVF today and its a weekday why not a weekend :'(
positive,@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove
positive,@AmericanAir Just followed you.
negative,@united we have tried to change our flight THREE times on the phone and got disconnected each time.
positive,"@USAirways thanks to the gate agent in State College, PA that was able to get me on an earlier flight AND figure out an earlier connection!"
neutral,"@united no, I had to leave for work. Would have not been possible. So I would love to have this replaced now"
negative,"@united so, I made it all the way to the airport, and they say they wont fix the handle. I showed you this problem, and you said to go?"
positive,@JetBlue Thanks. I'm finding lower fares already on other carriers with direct flights. July 8 - 13.
negative,"@USAirways I would happily wait in the terminal near food, restrooms and non irritated passengers."
neutral,@SouthwestAir Where should I fly by May 3rd? Plz advise.
positive,@USAirways YOU ARE THE BEST AIRWAYS! Follow me please!!!!!
positive,@JetBlue thanks so much!!  very relaxing flight!
negative,"@USAirways 
Are you an incompetent airline every day, or just days that end in 'y'?"
negative,@USAirways any word on flight 1748 getting out of DFW in the near future? Stuck on plane at gate for over an hour
positive,@JetBlue on the plane now!  Hopefully no longer at the mercy of the playlist!  Thanks!
negative,@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful.
positive,@united love the new 1st class breakfast!
positive,@united Bag was finally delivered and intact. Thanks for your assistance.
negative,@AmericanAir You could only get us on a flight 30 minutes before the funeral starts. We're stranded in Dallas w/o luggage for 2 days
neutral,"@AmericanAir was hoping for 8A if possible, for some frozen views along the way!"
neutral,@united  no thanks
negative,"@JetBlue spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone."
negative,"@USAirways First the pilot was Late Flight, now it's maintenance. This is EXACTLY what happened two weeks ago. Unacceptable."
negative,@united havent before and havent this time &amp; have checked spam/junk mail just in casenothing
positive,@united thank you!
negative,"@united in other words... sorry, not sorry.  Plenty of other airlines... and I travel A LOT."
negative,@USAirways -beg to differ. 4 things booked wrong and still not fixed. Get your act together! #USAirSucks
negative,@USAirways Everyone on Flight 669 from LAX to RDU enjoyed waiting an hour &amp; a half in baggage claim for their bags just now
negative,".@united you should really have that addressed somewhere on the website, find that completely irritating &amp; am unable to take my flight now."
negative,"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days."
negative,@USAirways nervous for flight tomrw out of key west not friendly customer service
negative,"@united you Cancelled Flight my flight. I wait in line to get rebooked, when I'm at the front you make me go to another gate and I lose my place."
negative,.@USAirways It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.
positive,@JetBlue you found my camera!  Thank you!  You rock!
negative,@JetBlue just lost very loyal customers who use them 4-10 times a year.
positive,@SouthwestAir @love_dragonss LAUREN IM SCREAMING
negative,@AmericanAir You moved us onto 6.55pm but there is availability on 1.50 and 3.30.   No answer on your phone. Have young children.  HELP!
negative,@united was trying to change a flight online but got an error can you help via DM?
negative,@USAirways I keep getting hung up on. PLEASE respond so I can book a ticket with you. I won't be able to buy one unless I speak to someone!
negative,@united - terrible experience on UA415 on 17th. 1st exit row in economy has zero legroom. Have same row booked for return but can't change.
negative,@USAirways You are 0 for 3 so far in on-time flights on this vacation.
negative,@JetBlue how about an update on flight 475 leaving tf green delayed
negative,@AmericanAir After 3 days NO BAGs amazing the way that you neglect customers
neutral,@USAirways I think it's ok.
negative,@AmericanAir AND they Cancelled Flighted my flight and left me with no help to find a hotel to stay in. I slept in an airport for a night-_-
negative,@AmericanAir I was rebooked on a flight that was too Late Flight for my connection!
negative,@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...
neutral,@USAirways I'm flying with you this Summer. Will I be able to leave Miami Airport during my 12 hour stopover there?
negative,@AmericanAir my flight 386 to Dallas from Jacksonville fl has been Cancelled Flightled. No one has notified me. What's going on?
positive,"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat"
neutral,@AmericanAir do you have hand sanitizer in the bathrooms on your flights?
negative,@AmericanAir our flight was Cancelled Flightled and rebooked to United. You didn't give them accurate ticket number now we can't check in. #annoyed
negative,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
neutral,@JetBlue this feels nice - what we've got going on here. Let's just swap me out with the fool in 5a and we can make it all better.
negative,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice
positive,@JetBlue thank you!!
negative,@JetBlue @KyleJudah It doesn't matter who you directed me to. It's the principle of the matter. When I gate checked the stroller it was
negative,@AmericanAir then taxi across dfw airport for 20 min to then state 75 min past departing from gate that we need deiced? Wow. Uncool &amp; untrue
negative,"@USAirways had a horrible experience flying from Montego Bay to Philadelphia on 2/11. $125 2check a golf bag, constant selling in-flight"
neutral,"@AmericanAir @RobertDwyer AA doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same"
negative,@USAirways and despite tailwind Will still be Late Flight.
positive,@SouthwestAir thanks!
neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
negative,@USAirways @AmericanAir need to check candy w working flight 449 iah to phx on usairways she is the reason I always choose @Delta #rude
neutral,@AmericanAir what terminal LHR for aa5/BA1506? Doesn't say in boarding pass
negative,@AmericanAir you can tweet but not call! You're like a bad boyfriend!
negative,"@AmericanAir on hold for 3 hours...got an agent, immediately txfd me to change cncdld flight...told it would be 1 min, 80 min Late Flightr, waiting"
negative,@JetBlue it's poop and barely works
negative,"@united yo, you need a new website really badly. This day and age..."
neutral,@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc Really Jet Blue? Lmao
negative,@AmericanAir The bad weather wasn't a surprise! You should have double/triple staff on hand to handle calls. Way to treat your customers.
negative,"@AmericanAir AA1675 now that the airplane has been sitting here for over 24 hrs,there are mechanical problems.BTW,the AA desk is unorganized"
negative,"@AmericanAir lost my wife's luggage and nobody gives you and answer, all they say is go here or call there."
negative,"@SouthwestAir #1687 MDW-SAN. Like most flights, if I'm watching free TV it works but won't hardly access any websites - including your own."
negative,@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline
negative,"@AmericanAir Uwon't allow me2make changes online, force me2sit thru excess phone wait times&amp;still insist charging crazy fees. Thats service?"
negative,@USAirways No speciifc email. 1500 character limit for complaints. Is AA/US customer complaints adopting the twitter model?
negative,@AmericanAir She got to the gate just in time to watch the plane push back. 5 minutes was all she needed. Glad weve relatives nearby.
neutral,@united I'm flying UA but *G with A3
negative,@USAirways i hate you
negative,@USAirways that's the 1st sorry I received from your company. The least you could do is fly us home early at no extra charge.
negative,@AmericanAir how can I get travel question answered quickly... Online and calling not helping with this busy day
negative,@AmericanAir sounding like they just got bitch-slapped by @juliasinton948
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
positive,@SouthwestAir thanks for the info and the quick response!
negative,"@AmericanAir its not that, it's the rude agent who wouldn't listen to anything I would say and it clearly fit into the sizer"
negative,@AmericanAir  800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.
negative,@SouthwestAir 2 bags fly free!  So what's with all the carry-on's? #packingayak @BrianReganComic
negative,"@united to recap, you bounced me off my flight, LIED TO ME, then hung up on me. What am I supposed to think/do now?"
negative,"@AmericanAir I understand the weather issues. I don't understand how I was not notified of the Cancelled Flightlation, and had to realize it so Late Flight."
negative,.@united too much info to share via tweet. Please send me your name and contact info. Happy to supply you with images and CS rep names.
negative,"@AmericanAir is terrible, my flights Cancelled Flighted and i've been on hold for the past 4 hours. Never again."
negative,"@AmericanAir as of now, will do my best to never fly w/ #AmericanAirlines ever again. Y'all have made this a day to remember."
positive,@united awesome thank you very much for the help
negative,@AmericanAir I need to know what to do? My flight has been Cancelled Flightled and I can't speak to anyone. Help!
negative,"@AmericanAir trying to change my flight and you just hang up on ppl bc call volume is high. That's a joke, right?"
negative,@JetBlue Safety might be your priority but organization clearly is not.
negative,"@AmericanAir If you care, could you have someone call me to explain what is going on."
negative,"@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful."
negative,@USAirways Flight 4210 been sitting @Bradley_Airport gate 27 for 10 min w door open since we arrived. Still no jet bridge. Can someone help?
neutral,@USAirways can you priv chat to help chairman reroute
neutral,"@USAirways btw, not upset at usaiways, promise."
negative,@USAirways I'm logged into a Flight Booking Problems. I need to add API before travelling to the states but I cannot see where to do it
negative,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!
neutral,@united will do. Thank you!
negative,@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?
positive,@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!
negative,@AmericanAir Inconvenient is such a convenient word.
neutral,@united you'll be hearing from me for sure.
negative,"@united I'm checked in, agent wouldn't tag my bags at 7am. Now I'm standing in line hell."
negative,@USAirways ... I f@$%ing hate you.
negative,@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail
negative,@AmericanAir Sorry that is a sad answer a fully refundable first fare and no response in 6 weeks ! No more AA in my future !
negative,@USAirways Discovered our flight was Cancelled Flightled yesterday at 3:30PM - @americanairlnes finally notified us our flight was Cancelled Flighted at 0316 AM
negative,@SouthwestAir The problem is apologies don't help. Results matter and it's proving impossible to find anyone who is interested in that.
negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
positive,@AmericanAir Huge thanks for fixing our flights! appreciate the customer service. now if only i could get seats assigned: me next to my wife
negative,@SouthwestAir There's nothing I love more than being on hold for over an hour http://t.co/LIQWoblFbT
negative,@USAirways you run a piece of shit airline!!  Thanks for ruining AA
neutral,@united Thank you.
positive,@USAirways We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!
negative,@USAirways we should have been given the option to get off the plane not sit on it for a time longer than our actually flight.
negative,@united a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.
negative,"@united You load our plane at ORD knowing pilots are 2 hrs Late Flight, then discover plane needs to be fueled? #WTF #united #incompetent"
negative,"@USAirways flight 623 den to phx: flight attdt decides to stay downtown and be an hour Late Flight so entire flight delayed, she better get fired!"
positive,@SouthwestAir really easy for locals to get down to the strip. book.
neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
neutral,@united Confirmation number: NJV4BP - All I need is email confirmation of flight from NYC - SFO Feb 4
negative,@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease
negative,@SouthwestAir I pay for a service to be delivered. Whether or not it is your fault shouldn't there be some sort of compensation?
neutral,His name is Enzo  RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg
positive,@JetBlue I LOVE JET BLUE!
negative,"@AmericanAir plane breaks, unloads the passengers, told to re enter to only come back off. Flight Cancelled Flightled, missed wedding. #badbusiness"
negative,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED"
neutral,@USAirways but question :  if the downgrade include losing first class do you get money back ? http://t.co/LfT7QD23Sy
negative,@USAirways i've been on hold for an hour trying to change my flight!!! COME ON
negative,@USAirways I've been sitting in the Charlotte airport for 4 hours. Waited for crew and now maintenance.  #NeverAgain
neutral,@SouthwestAir opened online applications for Fall 2015 intern positions throughout the company.  Apply via https://t.co/GmL7ot3IMH
negative,@AmericanAir hi we have lost and found solution we want to offer for free to assist with contacting people when items are found
positive,"@united you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all"
negative,@AmericanAir not in any way that I am happy with or find acceptable.   If I could speak to a human maybe that would happen
negative,"@SouthwestAir My bags are on the way to Chicago, without me! Help! I was confirmed for 2 flights and told there isn't room and I'm screwed."
negative,@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead.
negative,"@AmericanAir @JimDayTV no, you couldn't care less. That's why their customer service is run by bots"
negative,@USAirways tell my professors that when I don't show up to class/write my midterm because I'm stuck with no flights home 
negative,@AmericanAir This is getting a bit ridiculous when and you have made me miss 2 full days off work and had to pay for cabs back and forth
negative,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had
negative,@united is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline
neutral,"@JetBlue I know where you guys jet! LOL, but if you love me so much, help a brother out :) Hot weather, great nightlife, 2-3 hour flight"
neutral,@JetBlue Thanks. Which day of the week is the direct?  The flights I saw went thru JFK   
neutral,@USAirways Hi guys! Are flights 5594 and 3937 still on time? The site and app are both down and I can't check. Thanks!
positive,"@united Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back."
negative,@AmericanAir I certainly hope my LA /PBI on 25 th has a NEW plane . The seats on Feb 11 th flight ( in reverse) God awful
negative,"@AmericanAir I am running out of battery you have my chargers,clothes,coat,contact lenses, need to be in mtg tom need help #pathetic service"
negative,@AmericanAir is rude a hiring requirement at key west airport shaking my head
negative,@AmericanAir you have a company policy that refuses employees to speak to other employees over the phone? Interesting
positive,@usairways 4 flights in 48hrs &amp; I've had the same flight attendant for 3 of those flights. Freaky coincidence! Plus side she's great. :)
negative,@united my friend lost luggage on flight 1547. What to do?
negative,@SouthwestAir looks like you are up and running for the day. Still can't get through on the phone. Can you follow so I can dm you my info
neutral,@AmericanAir dmed back
negative,"@SouthwestAir are any flights leaving DC today? Flight was Cancelled Flightled, been on hold for over an hour."
negative,"@united Midland couldn't get our bags to connect on our Intl flight to Sydney, so have to get em in LA &amp; check em in there."
neutral,@united this is for a check-in luggage. Employee told me not to include wheels in the dimensions.
negative,@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly
positive,@SouthwestAir telling my Fam in Vegas now. :)
negative,@AmericanAir another day another grievance with this airline. No customer service
negative,"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily."
negative,"@AmericanAir of course it wasn't your intention, issue lies in lack of response. she did contact you directly; she sat on hold for 50 mins"
positive,"@AmericanAir versus @JetBlue 
in Customer Service?
Who will win!
For Me @AmericanAir is a convenience to a trip to Cali &lt;3"
negative,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC
neutral,@AmericanAir I know you are getting pummeled tonight @dfwairport we were one of the lucky out of @slcairport just one more @AUStinAirport
positive,@SouthwestAir Southwest Airline is THE way to go!
negative,"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
negative,@SouthwestAir has the worst customer service on earth. Will never fly that airline again.
neutral,@united Twitter isn't letting me DM you..
neutral,@USAirways  is a bag that is   23L x 9W x 12H  allowed as a carry on?
neutral,@united I sent the message. Let me know ASAP.
neutral,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Times Colonist http://t.co/NzDXRvszWv
neutral,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.
positive,"@united @staralliance was there few weeks ago AWESOME,bright vibrant, and NO habitrails"
negative,@AmericanAir you have such a confusing web site/complicated ordering process. This is why I typically fly @SouthwestAir.
negative,@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......
positive,@united appreciate the sentiment and you were able to get me off the ground;still missed connection
negative,@SouthwestAir Finally got through after 3 hours and all set. Thanks.
neutral,@JetBlue: Our fleet's on fleek. http://t.co/Q16Xvwg0L6 .... I have to refrain what I want to say
negative,@AmericanAir wasn't able to get on hold. Your system kept kicking me to the main menu.
positive,"@USAirways your ticket agents at gate 4 in Providence airport rocked tonight, especially Kristy, sorry if that is not the correct spelling."
negative,@USAirways #2066. Was on plane from PBI to CLT and knew about the frozen water. Also saw a plane to NYC take off at the gate next door!
positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
negative,@united yes I have &amp; they're unsure when it would come.This has never happened on any airline and my first time with @united #disappointed
positive,@united thnx!
negative,@AmericanAir In car gng to DFW. Pulled over 1hr ago - very icy roads. On-hold with AA since 1hr. Can't reach arpt for AA2450. Wat 2 do?
neutral,@JetBlue Oh I will. #Disney bound. #workhard #playsoon
negative,@AmericanAir Thanks for info on super large passengers- the extra seat Mr. Big needed was the one i was sitting in already #customerservice
negative,"@USAirways Yes, there is horrible snow. But seriously, can you not hire more people to answer the phones? Competitor have call back numbers."
negative,@AmericanAir  it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour.  #notahappycustomer #leavingtomm
positive,@united I forgot that Intl flights out of LAX don't go from Intl Terminal! Easiest re-check in ever! woo!
negative,@AmericanAir Don't require us to memorize a five-word phrase and remember it after we hear another six million options
negative,"@JetBlue It is physically impossible to make it to the airport, and our flight is scheduled to leave in less than 3 hours."
positive,"@USAirways job well done from your Philly employee running check,in today. (Tabitha?) helped us in an emergency &amp; vacation saved!!!"
positive,@JetBlue they miraculously fixed the plane #kudos to shoe ever it was
positive,@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)
neutral,@JetBlue any way to get 2 ppl on standby list for flight 1970 FLL to BOS. Trying to find way home.
negative,@USAirways sure knows how to pamper customers they strand abroad. #badcustomerservice #fend4yourself #youareonyourown http://t.co/Pw1eudlcZg
negative,@USAirways is there a number to call to modify reservation.  Please help. Very frustrating with american and us air merger
negative,"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff"
positive,@JetBlue boarding the back of the airplane first. Like a boss. #sosmart #jetblue #frequentflyerappreciates #alsoyayforsnacks
neutral,"@SouthwestAir any idea if there will be any ""spring sales"" soon for travel from Late Flight August to early September? Going from PA to LAX."
negative,@united last week we also had maintenance issues and a flat tire. Another flight last week was Cancelled Flighted. Your track record is the WORST!
negative,"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight"
negative,@united didn't realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow.
negative,"@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight."
negative,@SouthwestAir 75 minutes and still waiting for skis to be unloaded. You should be ashamed. It's 1:30 in the morning.
positive,@united stellar customer service. You have earned my business by your attention to detail.
negative,"@USAirways worse experience. Clt to DC. Oversold by 20, lost CARRY ON luggage.Cancelled Flightled connecting flight to NYC. #flydelta"
negative,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL"
positive,@USAirways on Sunday! Can't wait! See you then
neutral,@SouthwestAir what number can we use to all from outside the US? Thx
neutral,@AmericanAir I'm sure all these birds will be in warmer weather soon.
neutral,@JetBlue: Our fleet's on fleek. http://t.co/3Ltx7JKBo9 is fleek dead yet now?
negative,@united I am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line!! This is HELL!!
negative,@AmericanAir The pilot admitted to us that this delay is entirely because of AA incompetence and poor equip checks.
negative,@SouthwestAir although I'm not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook
negative,@AmericanAir @emrey35 But it says your agents are too busy and to try back Late Flightr???
negative,"@united not tonight, we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed. Thanks"
positive,@JetBlue who is he I must send a note!!! Too good for words!
negative,@USAirways  I've never been treated this badly
positive,@JetBlue thanks. We are ticketed on stand by for flight 1970. I hope we make it out. Fingers crossed
negative,@AmericanAir it shouldn't happen but did and has put us and our gear in jeopardy. What steps do you take to protect customers if their items
negative,@SouthwestAir so u guys Cancelled Flight #bna flights &amp; don't bother 2 alert passengers? What gives?
negative,"@usairways It was 9, and some of us had left coats in our luggage in anticipation of cramped overhead bins :|"
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.
neutral,@SouthwestAir could u put one here in Baltimore? http://t.co/vLCI2KV1IP
negative,"@SouthwestAir   A whole family, with a special Olympic athlete here, and you can't even call them? 617-653-3040"
neutral,"@JetBlue sorry, should have specified I meant ground traffic trying to get into the terminal"
negative,@united a plane took our gate and now we're just waiting in a lot at DIA
negative,"@united appreciate it, but changing time by 10 min multiple times 6 hours before flight is just annoying and seems like you have 0 clue"
neutral,"@AmericanAir I will and I will share with many, many others. #filmcrew #media @WSJ @nytimes @latimes @chicagotribune"
negative,@AndrewFallis same here! On hold for an hour &amp; then told @USAirways has done all it is willing to- which was apologize. #stillnotonmyflight
negative,@united if I wait I'll lose the flight. So frustrating.
negative,@USAirways I need help locating my bag. I arrived in Denver last night at midnight from charlotte but my  8am flight to Hayden/steamboat
neutral,@SouthwestAir @TheEllenShow @Imaginedragons this job interferes w/Ellen Show &amp; concerts! will alway treasure my @LiveAtFirefly experience!
negative,"@AmericanAir I guess that is your way of saying thanks for sharing but I can't help you, Good Luck. Happy Birthday to me. Ugh"
negative,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
negative,"@USAirways really, so what does that mean??? #usairwayssucks"
negative,@USAirways On hold for an hour...connected to the wrong department by your automated system...transferred and now another 45 min &amp; counting
neutral,"@united i understand, thanks"
negative,"All followers please note that @USAirways is not taking customer service calls, nor responding by helping via soc. media #dontflyusairways"
neutral,@JetBlue Guess I'll wait another 24 hrs in hopes rate goes down &amp; is more reasonable. Fingers crossed. Cutting it close to my travel dates.
neutral,"@united question:are there onboad 110 volt outlets in all planes? If so, where?"
negative,@USAirways : We Suck -- And Pass the Savings on to Us! #usairwaysfail
positive,@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!
negative,"@JetBlue our #FoodAllergy community. IF you want our continued loyalty, you need to do better than that. Perhaps some training is in (2/3)"
negative,@AmericanAir No I was not given the choice by the rep Meelan (UK AA Contact Center) to escaLate Flight to a supervisor and had to book with change
positive,@SouthwestAir yes I was everything worked out great
negative,"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL"
negative,"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled."
negative,@USAirways so I was just told I was coded as an upgrade... I clearly purchased this seat with my miles and refuse to downgrade. #ripoff
neutral,"@SouthwestAir Any chance the flight I just took can count for #3? I mean, I signed up with SW wifi in the air! 2/2"
negative,@USAirways i have been tryng to rsrv a flight over the phone over the past 4 days and keep getting an automated message to call back?!?!?!
negative,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA
negative,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.
negative,@USAirways Flight 496. How are u going to compensate me for sitting on the tarmac for 90+ mins and missing my PHX - BOS connection?
negative,@USAirways I never made a reward reservation becuase no one ever answered the phone. The online one I made got Cancelled Flighted and I can't change
negative,@AmericanAir Still waiting on bags from flight 1613/2440 yesterday  First Class passenger not happy with your service.
negative,@united the refund request functionality on http://t.co/5IMDckODfx is broken.i get a time out error.
negative,@USAirways  And now your half assed plane is falling apart. Some one tell my family I love them! #DoBetter http://t.co/UA6doUA34l
negative,@AmericanAir at JFK flight to Boston delayed 20 min waiting for catering they are boarding flight to LAX waiting for over and hour WTF?
positive,"@JetBlue: @2littlebirds Well captured, Brittany! We love the clouds! :)  Enjoy the ride! Thank you!"
negative,@AmericanAir can you tell me why all flights from XNA 2 DFW are Cancelled Flightled for tomorrow morning already?
positive,@SouthwestAir Can a pair of tickets waiting for me after my sports practice? I live here and definitely know where that is! @Imaginedragons
neutral,@usairways Trying to go Nashville to London and just have no idea when would be a good time to fly out of Nashville right now. @AmericanAir
negative,@united I sent you a DM as requested but have not heard anything. Can you address the issue I brought up in my DM and explain what happened?
positive,@VirginAmerica ok! first time flying with you tonight :)
negative,@AmericanAir I've been trying to reach your customer service for TWO days. I have received zero response. Never traveling AA again.
neutral,"@CatfoodBeerGlue you'll enjoy this. 

@JetBlue: Our fleet's on fleek. http://t.co/2thC9RKURT"
